ticker,name,market,locale,active,source_feed,type
I:DJUSCC,Dow Jones U.S. Commodity Chemicals Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCR,Dow Jones U.S. Computer Hardware Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSDV,Dow Jones U.S. Computer Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCN,Dow Jones U.S. Construction & Materials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSSF,Dow Jones U.S. Consumer Finance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSNC,Dow Jones U.S. Consumer Goods Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSNCT,Dow Jones U.S. Consumer Goods Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCYC,Dow Jones U.S. Consumer Services Capped Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCYCT,Dow Jones U.S. Consumer Services Capped Index (USD) TR,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCY,Dow Jones U.S. Consumer Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCYT,Dow Jones U.S. Consumer Services Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCP,Dow Jones U.S. Containers & Packaging Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSVE,Dow Jones U.S. Conventional Electricity Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSDN,Dow Jones U.S. Defense Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSAF,Dow Jones U.S. Delivery Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSVN,Dow Jones U.S. Distillers & Vintners Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSID,Dow Jones U.S. Diversified Industrials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSDT,Dow Jones U.S. Diversified REITs Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSDIV,Dow Jones U.S. Dividend 100 Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSDIVT,Dow Jones U.S. Dividend 100 Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRD,Dow Jones U.S. Drug Retailers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHD,Dow Jones U.S. Durable Household Products Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSEC,Dow Jones U.S. Electrical Components & Equipment Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSEU,Dow Jones U.S. Electricity Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSEE,Dow Jones U.S. Electronic & Electrical Equipment Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSAI,Dow Jones U.S. Electronic Equipment Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSOS,Dow Jones U.S. Exploration & Production Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFA,Dow Jones U.S. Financial Administration Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFV,Dow Jones U.S. Financial Services Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFVT,Dow Jones U.S. Financial Services Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGF,Dow Jones U.S. Financial Services Sector Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFI,Dow Jones U.S. Financial Services Supersector Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFNC,Dow Jones U.S. Financials Capped Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
